company,batch,website,industries,one_liner,description,founder_name,founder_linkedin,yc_url
Flock Safety,Summer 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The first public safety operating system that eliminates crime.,"The first public safety operating system that eliminates crime. Founded in 2017 by Matt Feury and Garrett Langley, Flock Safety has 1000 employees based in Atlanta, GA, USA. Flock Safety is hiring for 7 roles in engineering.",Matt Feury,https://www.linkedin.com/in/matt-feury-a105a339,https://www.ycombinator.com/companies/flock-safety
Go1,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,A learning platform that enables you to train your staff or customers.,"A learning platform that enables you to train your staff or customers. Founded in 2015 by Andrew Barnes, Chris Eigeland, Chris Hood, and Vu Tran, Go1 has 650 employees based in San Francisco.",Ajbarnes,https://www.linkedin.com/in/ajbarnes,https://www.ycombinator.com/companies/go1
Go1,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,A learning platform that enables you to train your staff or customers.,"A learning platform that enables you to train your staff or customers. Founded in 2015 by Andrew Barnes, Chris Eigeland, Chris Hood, and Vu Tran, Go1 has 650 employees based in San Francisco.",Chris Eigeland,https://au.linkedin.com/in/chriseigeland,https://www.ycombinator.com/companies/go1
Go1,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,A learning platform that enables you to train your staff or customers.,"A learning platform that enables you to train your staff or customers. Founded in 2015 by Andrew Barnes, Chris Eigeland, Chris Hood, and Vu Tran, Go1 has 650 employees based in San Francisco.",Chrish00D,https://www.linkedin.com/in/chrish00d,https://www.ycombinator.com/companies/go1
Odeko,Summer 2019,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Our operations software makes it easier to run--and grow--your cafe,"Our operations software makes it easier to run--and grow--your cafe. Founded in 2019 by James Burkhardt, Odeko has 371 employees based in New York City. Odeko is hiring for 3 roles in design and engineering.",James Burkhardt,https://www.linkedin.com/in/james-burkhardt-6bb4ab48,https://www.ycombinator.com/companies/odeko
Podium,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Get more leads. Make more money.,"Get more leads. Make more money. . Founded in 2014 by Eric Rea and Dennis Steele, Podium has 1000 employees based in Lehi, UT, USA. Podium is hiring for 5 roles in product, design, and engineering.",Eric Rea,https://www.linkedin.com/in/ericrea,https://www.ycombinator.com/companies/podium
Podium,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Get more leads. Make more money.,"Get more leads. Make more money. . Founded in 2014 by Eric Rea and Dennis Steele, Podium has 1000 employees based in Lehi, UT, USA. Podium is hiring for 5 roles in product, design, and engineering.",Steeledennis,https://www.linkedin.com/in/steeledennis,https://www.ycombinator.com/companies/podium
Rappi,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,On-demand delivery and financial services for Latin America.,"On-demand delivery and financial services for Latin America. Founded in 2015 by Simon Borrero, Sebastian Mejia, and Felipe Villamarin, Rappi has 4800 employees based in Bogotá, Bogota, Colombia.",Simon Borrero,https://co.linkedin.com/in/simonborrero,https://www.ycombinator.com/companies/rappi
Rappi,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,On-demand delivery and financial services for Latin America.,"On-demand delivery and financial services for Latin America. Founded in 2015 by Simon Borrero, Sebastian Mejia, and Felipe Villamarin, Rappi has 4800 employees based in Bogotá, Bogota, Colombia.",Sebastian Mejia,https://www.linkedin.com/in/sebastianmejia,https://www.ycombinator.com/companies/rappi
Rappi,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,On-demand delivery and financial services for Latin America.,"On-demand delivery and financial services for Latin America. Founded in 2015 by Simon Borrero, Sebastian Mejia, and Felipe Villamarin, Rappi has 4800 employees based in Bogotá, Bogota, Colombia.",Felipe Villamarin,https://www.linkedin.com/in/felipe-villamarin-85518161,https://www.ycombinator.com/companies/rappi
Rippling,Winter 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"One place to run all your HR, IT, and Finance. Globally.","One place to run all your HR, IT, and Finance. Globally. Founded in 2016 by Parker Conrad and Prasanna S, Rippling has 2500 employees based in San Francisco. Rippling is hiring for 16 roles in product, sales, design, support, marketing, engineering, and operations.",Parker Conrad,https://www.linkedin.com/in/parkerconrad,https://www.ycombinator.com/companies/rippling
Rippling,Winter 2017,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"One place to run all your HR, IT, and Finance. Globally.","One place to run all your HR, IT, and Finance. Globally. Founded in 2016 by Parker Conrad and Prasanna S, Rippling has 2500 employees based in San Francisco. Rippling is hiring for 16 roles in product, sales, design, support, marketing, engineering, and operations.",Myprasanna,https://www.linkedin.com/in/myprasanna,https://www.ycombinator.com/companies/rippling
Scale AI,Summer 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Data-centric infrastructure to accelerate the development of AI,"Data-centric infrastructure to accelerate the development of AI . Founded in 2016 by Alexandr Wang, Scale AI has 500 employees based in San Francisco. Scale AI is hiring for 6 roles in engineering, product, and operations.",Alexandr Wang,https://www.linkedin.com/in/alexandrwang,https://www.ycombinator.com/companies/scale-ai
Whatnot,Winter 2020,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Whatnot is the largest livestream shopping platform in the U.S.,"Whatnot is the largest livestream shopping platform in the U.S. Founded in 2019 by Logan Head and Grant LaFontaine, Whatnot has 731 employees based in Los Angeles. Whatnot is hiring for 7 roles in engineering.",Grant LaFontaine,https://www.linkedin.com/in/grantlafontaine,https://www.ycombinator.com/companies/whatnot
Whatnot,Winter 2020,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Whatnot is the largest livestream shopping platform in the U.S.,"Whatnot is the largest livestream shopping platform in the U.S. Founded in 2019 by Logan Head and Grant LaFontaine, Whatnot has 731 employees based in Los Angeles. Whatnot is hiring for 7 roles in engineering.",Logan Head,https://www.linkedin.com/in/logan-head-b0866615,https://www.ycombinator.com/companies/whatnot
Mason,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Mason is the fastest way to take smart devices from idea to end user,"Mason is the fastest way to take smart devices from idea to end user. Founded in 2015 by Jim Xiao, Mason has 65 employees based in Seattle. Mason is hiring for 3 roles in engineering and product.",Jim Xiao,https://www.linkedin.com/in/jimxiao,https://www.ycombinator.com/companies/mason
Tovala,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,A smart-oven-paired subscription meal service.,"A smart-oven-paired subscription meal service. Founded in 2015 by David Rabie, Tovala has 375 employees based in Chicago, IL, USA. Tovala is hiring for 1 roles in engineering.",What Happens,http://www.linkedin.com/in/davidrabie/en,https://www.ycombinator.com/companies/tovala
iSono Health,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,AI-powered platform for Accessible and Personalized Breast Health…,"AI-powered platform for Accessible and Personalized Breast Health…. Founded in 2016 by Shadi Saberi, iSono Health has 9 employees based in San Francisco. iSono Health is hiring for 3 roles in engineering.",Ssaberig,http://www.linkedin.com/in/ssaberig,https://www.ycombinator.com/companies/isono-health
Deepgram,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Building foundational AI for speech transcription and understanding.,"Building foundational AI for speech transcription and understanding. Founded in 2015 by Scott Stephenson, Deepgram has 115 employees based in San Francisco. Deepgram is hiring for 5 roles in operations, engineering, sales, and science.",,,https://www.ycombinator.com/companies/deepgram
SOUNDBOKS,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,We're creating the loudest battery-driven speaker on the market,"We're creating the loudest battery-driven speaker on the market. Founded in by Christoffer Nyvold and Jesper Theil Thomsen, SOUNDBOKS has 50 employees based in Copenhagen, Denmark.",,,https://www.ycombinator.com/companies/soundboks
Lattice,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Modern people management platform.,"Modern people management platform. Founded in 2015 by , Lattice has 540 employees based in San Francisco.",Jackealtman,https://www.linkedin.com/in/jackealtman,https://www.ycombinator.com/companies/lattice
Lattice,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Modern people management platform.,"Modern people management platform. Founded in 2015 by , Lattice has 540 employees based in San Francisco.",Eric Koslow,https://www.linkedin.com/in/erickoslow,https://www.ycombinator.com/companies/lattice
Mux,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Video infrastructure for developers,"Video infrastructure for developers. Founded in 2016 by Adam Brown, Jon Dahl, Steve Heffernan, and Matthew McClure, Mux has 95 employees based in San Francisco. Mux is hiring for 1 roles in engineering.",Zencoder,https://www.linkedin.com/in/zencoder,https://www.ycombinator.com/companies/mux
Mux,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Video infrastructure for developers,"Video infrastructure for developers. Founded in 2016 by Adam Brown, Jon Dahl, Steve Heffernan, and Matthew McClure, Mux has 95 employees based in San Francisco. Mux is hiring for 1 roles in engineering.",Adam Brown,https://www.linkedin.com/in/adam-brown-7452b03a,https://www.ycombinator.com/companies/mux
Mux,Winter 2016,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Video infrastructure for developers,"Video infrastructure for developers. Founded in 2016 by Adam Brown, Jon Dahl, Steve Heffernan, and Matthew McClure, Mux has 95 employees based in San Francisco. Mux is hiring for 1 roles in engineering.",Steve Heffernan,https://www.linkedin.com/in/heffernan,https://www.ycombinator.com/companies/mux
Human Interest,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The 401(k) for small and medium-sized businesses.,"The 401(k) for small and medium-sized businesses. Founded in 2015 by , Human Interest has 765 employees based in San Francisco.",Rogerrlee,https://www.linkedin.com/in/rogerrlee,https://www.ycombinator.com/companies/human-interest
Human Interest,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The 401(k) for small and medium-sized businesses.,"The 401(k) for small and medium-sized businesses. Founded in 2015 by , Human Interest has 765 employees based in San Francisco.",Paul Sawaya,https://linkedin.com/in/paulsawaya,https://www.ycombinator.com/companies/human-interest
Eight Sleep,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The sleep fitness company.,"The sleep fitness company. Founded in 2014 by Massimo Andreasi Bassi, Matteo Franceschetti, and Alexandra Zatarain, Eight Sleep has 100 employees based in New York City. Eight Sleep is hiring for 13 roles in product, recruiting & hr, engineering, and operations.",Matteo Franceschetti,https://www.linkedin.com/in/matteofranceschetti,https://www.ycombinator.com/companies/eight-sleep
Eight Sleep,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The sleep fitness company.,"The sleep fitness company. Founded in 2014 by Massimo Andreasi Bassi, Matteo Franceschetti, and Alexandra Zatarain, Eight Sleep has 100 employees based in New York City. Eight Sleep is hiring for 13 roles in product, recruiting & hr, engineering, and operations.",Maghis,https://www.linkedin.com/in/maghis,https://www.ycombinator.com/companies/eight-sleep
Eight Sleep,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The sleep fitness company.,"The sleep fitness company. Founded in 2014 by Massimo Andreasi Bassi, Matteo Franceschetti, and Alexandra Zatarain, Eight Sleep has 100 employees based in New York City. Eight Sleep is hiring for 13 roles in product, recruiting & hr, engineering, and operations.",Alexandra Zatarain,http://www.linkedin.com/in/alexandrazatarain,https://www.ycombinator.com/companies/eight-sleep
Instawork,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,A flexible work app that connects businesses with hourly workers.,"A flexible work app that connects businesses with hourly workers. Founded in 2016 by Sumir Meghani, Instawork has 500 employees based in San Francisco. Instawork is hiring for 23 roles in sales, engineering, operations, finance, and product.",Sumir Meghani,https://www.linkedin.com/in/sumirmeghani,https://www.ycombinator.com/companies/instawork
Bitmovin,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Powers OTT online video providers with video developer tools.,"Powers OTT online video providers with video developer tools. Founded in by Stefan Lederer, Christopher Mueller, and Christian Timmerer, Bitmovin has 145 employees based in San Francisco. Bitmovin is hiring for 1 roles in sales.",Christian Timmerer,https://www.linkedin.com/in/christiantimmerer,https://www.ycombinator.com/companies/bitmovin
Xendit,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Provides payment infrastructure for Southeast Asia,"Provides payment infrastructure for Southeast Asia. Founded in 2015 by Bo Chen, Juan Gonzalez, and Moses Lo, Xendit has 700 employees based in Jakarta, Indonesia. Xendit is hiring for 1 roles in engineering.",Moses Lo,http://linkedin.com/in/moseslo,https://www.ycombinator.com/companies/xendit
Xendit,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Provides payment infrastructure for Southeast Asia,"Provides payment infrastructure for Southeast Asia. Founded in 2015 by Bo Chen, Juan Gonzalez, and Moses Lo, Xendit has 700 employees based in Jakarta, Indonesia. Xendit is hiring for 1 roles in engineering.",Bo Chen,https://www.linkedin.com/in/bochen303,https://www.ycombinator.com/companies/xendit
Xendit,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Provides payment infrastructure for Southeast Asia,"Provides payment infrastructure for Southeast Asia. Founded in 2015 by Bo Chen, Juan Gonzalez, and Moses Lo, Xendit has 700 employees based in Jakarta, Indonesia. Xendit is hiring for 1 roles in engineering.",Juan Gonzalez,https://www.linkedin.com/in/0505gonzalez,https://www.ycombinator.com/companies/xendit
Shape (ShapeScale),Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,ShapeScale is a personal 3D scanner and fitness tracker that…,"ShapeScale is a personal 3D scanner and fitness tracker that…. Founded in 2015 by Martin Kessler and Alexandre Wayenberg, Shape (ShapeScale) has 7 employees based in San Francisco. Shape (ShapeScale) is hiring for 1 roles in engineering.",Awayenberg,http://www.linkedin.com/in/awayenberg,https://www.ycombinator.com/companies/shape-shapescale
Shape (ShapeScale),Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,ShapeScale is a personal 3D scanner and fitness tracker that…,"ShapeScale is a personal 3D scanner and fitness tracker that…. Founded in 2015 by Martin Kessler and Alexandre Wayenberg, Shape (ShapeScale) has 7 employees based in San Francisco. Shape (ShapeScale) is hiring for 1 roles in engineering.",Martin Kessler,https://www.linkedin.com/in/martinkessler,https://www.ycombinator.com/companies/shape-shapescale
Circle Medical,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Modern primary care via video and in-person,"Modern primary care via video and in-person. Founded in 2015 by JS Boulanger and Brent LaRue, Circle Medical has 235 employees based in . Circle Medical is hiring for 9 roles in engineering, product, marketing, and operations.",Jsboulanger,https://www.linkedin.com/in/jsboulanger,https://www.ycombinator.com/companies/circle-medical
Circle Medical,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Modern primary care via video and in-person,"Modern primary care via video and in-person. Founded in 2015 by JS Boulanger and Brent LaRue, Circle Medical has 235 employees based in . Circle Medical is hiring for 9 roles in engineering, product, marketing, and operations.",Laruebrent,https://www.linkedin.com/in/laruebrent,https://www.ycombinator.com/companies/circle-medical
GiveCampus,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,The fundraising platform for schools.,"The fundraising platform for schools. Founded in 2014 by Michael Kong and Kestrel Linder, GiveCampus has 130 employees based in Washington, DC, USA. GiveCampus is hiring for 1 roles in engineering.",,,https://www.ycombinator.com/companies/givecampus
Drip Capital,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Digital trade finance and B2B commerce company,"Digital trade finance and B2B commerce company. Founded in 2016 by Pushkar Mukewar, Drip Capital has 280 employees based in Mumbai, Maharashtra, India.",,,https://www.ycombinator.com/companies/drip-capital
Verge Genomics,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,We use human data and AI to develop better drugs faster.,"We use human data and AI to develop better drugs faster. Founded in 2015 by Alice Zhang, Verge Genomics has 50 employees based in San Francisco.",,,https://www.ycombinator.com/companies/verge-genomics
Reach,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Long range, wireless energy distribution that scales","Long range, wireless energy distribution that scales. Founded in by Christopher Davlantes, Reach has 45 employees based in San Francisco.",What Happens,https://www.linkedin.com/in/chrisdavlantes/en,https://www.ycombinator.com/companies/reach
Branch8,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Branch8 helps sellers to list and manage products on e-commerce…,"Branch8 helps sellers to list and manage products on e-commerce…. Founded in by Matt Li, Branch8 has 15 employees based in Kowloon City District, Hong Kong.",,,https://www.ycombinator.com/companies/branch8
Heroic Labs,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Social Infrastructure for Games; Makers of Nakama game server, Satori…","Social Infrastructure for Games; Makers of Nakama game server, Satori…. Founded in 2014 by Mo Firouz, Andrei Mihu, and Chris Molozian, Heroic Labs has 21 employees based in London. Heroic Labs is hiring for 1 roles in engineering.",Chris Molozian,https://uk.linkedin.com/in/chrismolozian,https://www.ycombinator.com/companies/heroic-labs
Heroic Labs,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Social Infrastructure for Games; Makers of Nakama game server, Satori…","Social Infrastructure for Games; Makers of Nakama game server, Satori…. Founded in 2014 by Mo Firouz, Andrei Mihu, and Chris Molozian, Heroic Labs has 21 employees based in London. Heroic Labs is hiring for 1 roles in engineering.",Mo Firouz,http://uk.linkedin.com/in/mofirouz,https://www.ycombinator.com/companies/heroic-labs
Heroic Labs,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Social Infrastructure for Games; Makers of Nakama game server, Satori…","Social Infrastructure for Games; Makers of Nakama game server, Satori…. Founded in 2014 by Mo Firouz, Andrei Mihu, and Chris Molozian, Heroic Labs has 21 employees based in London. Heroic Labs is hiring for 1 roles in engineering.",Andrei Mihu,http://uk.linkedin.com/in/andreimihu,https://www.ycombinator.com/companies/heroic-labs
SnapMagic,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,AI-assisted electronics design,"AI-assisted electronics design. Founded in by Natasha Baker, SnapMagic has 23 employees based in San Francisco. SnapMagic is hiring for 4 roles in sales and operations.",Natashaabaker,https://www.linkedin.com/in/natashaabaker,https://www.ycombinator.com/companies/snapmagic
Gemnote,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Gemnote is the easiest way to design, create and send custom products.","Gemnote is the easiest way to design, create and send custom products. Founded in by Ashley Wong, Gemnote has 40 employees based in San Francisco. Gemnote is hiring for 1 roles in operations.",,,https://www.ycombinator.com/companies/gemnote
New Story,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,We pioneer solutions to end the global housing crisis by empowering…,"We pioneer solutions to end the global housing crisis by empowering…. Founded in 2014 by Brett Hagler and Matthew Marshall, New Story has 20 employees based in Atlanta, GA, USA.",What Happens,http://www.linkedin.com/in/rbhagler/en,https://www.ycombinator.com/companies/new-story
New Story,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,We pioneer solutions to end the global housing crisis by empowering…,"We pioneer solutions to end the global housing crisis by empowering…. Founded in 2014 by Brett Hagler and Matthew Marshall, New Story has 20 employees based in Atlanta, GA, USA.",Matthew Marshall,http://linkedin.com/in/jamesmatthewmarshall,https://www.ycombinator.com/companies/new-story
Ironclad,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,AI-powered contract management,"AI-powered contract management. Founded in 2014 by Jason Boehmig, Ironclad has 700 employees based in San Francisco. Ironclad is hiring for 3 roles in engineering, design, and support.",Jboehmig,http://www.linkedin.com/in/jboehmig,https://www.ycombinator.com/companies/ironclad
Lugg,Summer 2015,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,"Move anything, anytime, anywhere","Move anything, anytime, anywhere. Founded in 2014 by Jordan Brown and Eric Kreutzer, Lugg has 50 employees based in San Francisco. Lugg is hiring for 1 roles in engineering.",Eric Kreutzer,https://www.linkedin.com/in/eric-kreutzer,https://www.ycombinator.com/companies/lugg
Justinian,Summer 2026,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,Builders of the first AI-native government affairs firm.,"Builders of the first AI-native government affairs firm. Founded in 2026 by Parth Badhwar, Justinian has 2 employees based in San Francisco. Justinian is hiring for 2 roles in operations and engineering.",Parth Badhwar,https://www.linkedin.com/in/parth-badhwar-8a8037189,https://www.ycombinator.com/companies/justinian
83 Sciences,Summer 2026,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,AI-native materials discovery powered by unpublished experimental data,"AI-native materials discovery powered by unpublished experimental data. Founded in 2026 by Ian Naccarella, Eric Riesel, and Yankang Yang, 83 Sciences has 3 employees based in San Francisco. 83 Sciences is hiring for 1 roles in engineering.",Ian Naccarella,https://www.linkedin.com/in/ian-naccarella,https://www.ycombinator.com/companies/83-sciences
83 Sciences,Summer 2026,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,AI-native materials discovery powered by unpublished experimental data,"AI-native materials discovery powered by unpublished experimental data. Founded in 2026 by Ian Naccarella, Eric Riesel, and Yankang Yang, 83 Sciences has 3 employees based in San Francisco. 83 Sciences is hiring for 1 roles in engineering.",Eric Riesel,https://www.linkedin.com/in/eric-riesel,https://www.ycombinator.com/companies/83-sciences
83 Sciences,Summer 2026,https://startupschool.org?utm_source=yc&utm_campaign=ycdc_header,,AI-native materials discovery powered by unpublished experimental data,"AI-native materials discovery powered by unpublished experimental data. Founded in 2026 by Ian Naccarella, Eric Riesel, and Yankang Yang, 83 Sciences has 3 employees based in San Francisco. 83 Sciences is hiring for 1 roles in engineering.",Yankang Yang,https://www.linkedin.com/in/yankangyang,https://www.ycombinator.com/companies/83-sciences
